player,team,total_runs,batting_avg,batting_sr,total_wickets,bowling_avg,bowling_economy,catches,stumpings
SM Curran,England,151296.0,23.40499999999998,84.13562499999998,9216.0,25.777499999999996,6.131875000000006,2560.0,0.0
JM Cox,England,88.0,9.75,37.415,0.0,0.0,0.0,4.0,0.0
DR Mousley,England,276.0,34.5,74.54500000000002,0.0,0.0,4.25,4.0,0.0
LB Williams,South Africa,272.0,2.375,35.41499999999999,256.0,40.317499999999995,6.37,0.0,0.0
Irfan Khan,Pakistan,192.0,9.33,73.53,0.0,0.0,0.0,20.0,0.0
Aamer Jamal,Pakistan,5.0,0.0,55.55,3.0,28.33,5.31,0.0,0.0
Mohammad Hasnain,Pakistan,2025.0,0.4444444444444444,87.77777777777777,972.0,16.161111111111104,6.981111111111103,162.0,0.0
Haris Rauf,Pakistan,76734.0,5.880952380952381,68.82523809523951,41895.0,36.709047619048036,5.831428571428603,5292.0,0.0
Abrar Ahmed,Pakistan,3600.0,0.6666666666666666,133.33333333333334,1044.0,39.1833333333333,4.833333333333331,612.0,0.0
Faisal Akram,Pakistan,0.0,0.0,0.0,5.0,16.0,4.1,1.0,0.0
Jaker Ali,Bangladesh,20088.0,55.333333333333336,82.97500000000004,0.0,0.0,0.0,72.0,36.0
HM Nicholls,New Zealand,168324.0,27.35538461538459,77.32923076923046,0.0,0.0,0.0,2366.0,0.0
MG Bracewell,New Zealand,145040.0,21.357142857142858,85.63428571428568,11368.0,26.854285714285552,5.11857142857141,7448.0,0.0
GD Phillips,New Zealand,467200.0,80.61624999999997,100.37437500000084,4864.0,50.67687500000008,5.3818750000000275,8960.0,0.0
ZGF Foulkes,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF Milne,New Zealand,432.0,1.4166666666666667,10.446666666666673,576.0,24.25,4.998333333333335,72.0,0.0
PJ Cummins,Australia,36663.0,14.787272727272722,75.20454545454557,5687.0,37.2190909090909,5.3999999999999995,1331.0,0.0
C Bosch,South Africa,2500.0,0.0,151.50799999999992,125.0,69.8,8.531999999999998,0.0,0.0
T Shamsi,South Africa,21160.0,0.08695652173913043,23.350869565217586,28566.0,34.25869565217396,6.003478260869596,2116.0,0.0
Shakib Al Hasan,Bangladesh,245980.0,35.52500000000023,79.2428571428558,11368.0,34.070714285714324,4.36714285714284,1960.0,0.0
Javed Ahmadi,Afghanistan,73.0,24.33,82.02,0.0,0.0,4.88,0.0,0.0
Najibullah Zadran,Afghanistan,38394.0,24.684444444444427,75.76111111111103,0.0,0.0,0.0,243.0,0.0
S Dhawan,India,183600.0,42.26000000000022,73.79083333333317,0.0,0.0,0.0,3024.0,0.0
HH Pandya,India,287488.0,24.519374999999968,124.42187500000041,12800.0,27.10250000000009,5.238750000000053,5632.0,0.0
M Prasidh Krishna,India,72.0,0.0,11.110000000000001,1044.0,30.784999999999993,5.698333333333334,108.0,0.0
TA Boult,New Zealand,3479.0,7.571428571428571,74.39857142857146,2352.0,20.171428571428564,4.5900000000000025,637.0,0.0
MJ Henry,New Zealand,19116.0,1.8611111111111112,30.232222222222305,31104.0,29.250000000000004,4.820555555555518,5508.0,0.0
JM Bairstow,England,135278.0,36.45636363636373,112.12090909090979,0.0,0.0,0.0,3025.0,121.0
JJ Roy,England,161395.0,32.70692307692312,87.2953846153842,0.0,0.0,0.0,2873.0,0.0
DJ Malan,England,165800.0,77.09900000000034,95.34900000000033,100.0,0.5,1.4039999999999995,1100.0,0.0
Mohammad Nawaz (3),Pakistan,16767.0,10.75,85.98888888888898,2025.0,23.619999999999994,5.09,729.0,0.0
Q de Kock,South Africa,387492.0,46.82785714285728,98.7550000000006,0.0,0.0,0.0,10192.0,1764.0
JN Malan,South Africa,95800.0,65.19799999999996,71.0740000000002,0.0,0.0,0.0,1100.0,0.0
Mosaddek Hossain,Bangladesh,1360.0,12.375,42.567500000000024,48.0,24.25,5.7925,80.0,0.0
Mohammad Naim,Bangladesh,2375.0,8.9,43.51599999999994,0.0,0.0,0.0,100.0,0.0
DJ Willey,England,52151.0,25.84090909090909,86.04454545454578,6534.0,22.216363636363635,5.310000000000019,726.0,0.0
DL Chahar,India,6660.0,18.25,104.77833333333358,504.0,22.316666666666674,5.623333333333335,36.0,0.0
Ishan Kishan,India,122210.0,50.47545454545467,95.57909090909108,0.0,0.0,0.0,1815.0,242.0
SV Samson,India,35904.0,39.625,103.44125000000003,0.0,0.0,0.0,576.0,128.0
N Rana,India,7.0,7.0,50.0,0.0,0.0,3.33,0.0,0.0
C Sakariya,India,0.0,0.0,0.0,2.0,17.0,4.25,2.0,0.0
Saud Shakeel,Pakistan,50139.0,20.693333333333328,79.29888888888863,81.0,4.111111111111111,0.5244444444444444,729.0,0.0
Sohaib Maqsood,Pakistan,46.0,15.33,85.18,0.0,0.0,0.0,1.0,0.0
MW Parkinson,England,28.0,0.0,43.75,20.0,14.0,5.865,4.0,0.0
JR Philippe,Australia,65.0,21.66,73.03,0.0,0.0,0.0,1.0,0.0
BR McDermott,Australia,2007.0,43.166666666666664,72.44,0.0,0.0,0.0,0.0,0.0
AC Agar,Australia,17800.0,9.3,69.25799999999991,1300.0,23.2,4.612,600.0,0.0
DT Christian,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GF Linde,South Africa,27.0,27.0,93.1,3.0,24.0,4.8,3.0,0.0
WD Parnell,South Africa,3600.0,13.0,76.92499999999997,180.0,37.666666666666664,4.873333333333337,36.0,0.0
Mohammed Shami,India,17444.0,4.642857142857143,52.223571428571404,17640.0,27.04214285714278,5.742142857142823,1960.0,0.0
C de Grandhomme,New Zealand,1744.0,16.75,77.25250000000001,96.0,16.25,3.9574999999999996,96.0,0.0
KS Williamson,New Zealand,300820.0,42.97923076923078,81.25769230769184,0.0,0.0,0.0,4563.0,0.0
TG Southee,New Zealand,4544.0,6.875,68.72374999999984,2368.0,34.273749999999986,6.254999999999993,320.0,0.0
T Banton,England,14749.0,32.357142857142854,91.26857142857158,0.0,0.0,0.0,343.0,0.0
LH Ferguson,New Zealand,4860.0,5.406666666666668,50.96888888888888,2592.0,53.00333333333335,6.1344444444444335,324.0,0.0
Imad Wasim,Pakistan,136.0,0.0,65.38,12.0,44.5,7.365,0.0,0.0
Wahab Riaz,Pakistan,240.0,30.0,113.09000000000002,20.0,37.625,5.370000000000001,8.0,0.0
Muhammad Musa,Pakistan,36.0,0.0,150.0,16.0,30.5,4.82,0.0,0.0
R Ravindra,New Zealand,254176.0,43.50615384615406,112.10076923076842,3380.0,30.30076923076924,4.624615384615368,2028.0,0.0
W O'Rourke,New Zealand,294.0,0.2857142857142857,17.142857142857142,2499.0,39.702857142857255,5.918571428571424,147.0,0.0
